ds,yhat,yhat_lower,yhat_upper
2025-01-04 01:00:00,4.798969483630267,-9.272316563176677,18.843010373767928
2025-01-04 02:00:00,3.98657785400903,-9.626010591397128,18.328629802437543
2025-01-04 03:00:00,2.4447828351196783,-11.622332613015862,16.878437553213946
2025-01-04 04:00:00,1.510956184115778,-12.719558671685347,15.427162134505876
2025-01-04 05:00:00,2.008060763184195,-13.075770411057503,16.505568065891044
2025-01-04 06:00:00,3.5111141143572286,-11.366603691343258,17.59825287963929
2025-01-04 07:00:00,4.773193308067516,-9.512339195419932,18.73688527448625
2025-01-04 08:00:00,4.868413334726326,-8.67189096153868,18.666154343984164
2025-01-04 09:00:00,3.9541919942418278,-10.490398210803269,18.063337541767442
2025-01-04 10:00:00,2.9751984830328952,-10.18508114695758,17.637842560580655
